AREACD,AREANM,total
UKM50,Aberdeen and Aberdeenshire,9.19
UKM71,Angus and Dundee,9.55
UKN13,Antrim and Newtownabbey,9.4
UKN09,Ards and North Down,8.82
UKN07,"Armagh City, Banbridge & Craigavon",8.56
UKI52,Barking and Dagenham and Havering,12.79
UKI71,Barnet,15.11
UKE31,"Barnsley, Doncaster and Rotherham",19.34
UKK12,"Bath & North East Somerset, North Somerset & South Gloucestershire",16.96
UKH24,Bedford,17.82
UKN06,Belfast,9.55
UKJ11,Berkshire,20.44
UKI51,Bexley and Greenwich,12.71
UKG31,Birmingham,16.3
UKD41,Blackburn with Darwen,15.7
UKD42,Blackpool,13.1
UKK21,Bournemouth and Poole,13.71
UKE41,Bradford,17.65
UKH17,Breckland and South Norfolk,15.35
UKI72,Brent,13.51
UKL17,Bridgend and Neath Port Talbot,15.39
UKJ21,Brighton and Hove,12.99
UKK11,Bristol,16.22
UKI61,Bromley,12.88
UKJ13,Buckinghamshire,19.52
UKE44,Calderdale and Kirklees,17.8
UKH12,Cambridgeshire,16
UKI31,Camden and City of London,14.41
UKL22,Cardiff and Vale of Glamorgan,16.2
UKN12,Causeway Coast and Glens,8.96
UKH25,Central Bedfordshire,17.57
UKJ36,Central Hampshire,20
UKL15,Central Valleys,17.64
UKD62,Cheshire East,19.11
UKD63,Cheshire West and Chester,18.37
UKD47,Chorley and West Lancashire,16.46
UKM72,Clackmannanshire and Fife,10.58
UKL13,Conwy and Denbighshire,11.73
UKK30,Cornwall and Isles of Scilly,8.08
UKG33,Coventry,16.78
UKI62,Croydon,13.26
UKC13,Darlington,18.2
UKF11,Derby,17.91
UKN10,Derry City and Strabane,7.54
UKK43,Devon,12.19
UKK22,Dorset,14.55
UKG36,Dudley ,16.09
UKM92,Dumfries and Galloway ,14.55
UKC14,Durham,17.03
UKI73,Ealing,14.85
UKM93,East and North Ayrshire mainland,12.25
UKD12,East Cumbria,14.86
UKF12,East Derbyshire,19
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",11.43
UKJ44,East Kent,11.55
UKD46,East Lancashire,16.05
UKM73,East Lothia and Midlothian,10.18
UKD71,East Merseyside,17.04
UKE12,East Riding of Yorkshire,15.98
UKJ26,East Surrey,18.1
UKJ22,East Sussex,13.69
UKM75,Edinburgh,10.47
UKM64,Eilean Siar,3.1
UKI54,Enfield,15.11
UKH34,Essex Haven Gateway,13.51
UKH37,Essex Thames Gateway,14.71
UKM76,Falkirk,11.72
UKN16,Fermanagh and Omagh,7.43
UKL23,Flintshire and Wrexham,16.6
UKM82,Glasgow,11.92
UKK13,Gloucestershire,19.09
UKD37,Greater Manchester North East,16.88
UKD36,Greater Manchester North West,16.73
UKD35,Greater Manchester South East,16.39
UKD34,Greater Manchester South West,16.73
UKL16,Gwent Valleys,18.35
UKL12,Gwynedd,11.54
UKI41,Hackney and Newham,13.17
UKI33,Hammersmith & Fulham and Kensington & Chelsea,14.92
UKI43,Haringey and Islington ,13.15
UKI74,Harrow and Hillingdon ,16.11
UKC11,Hartlepool and Stockton-on-tees ,16.61
UKH36,Heart of Essex ,15.25
UKG11,Herefordshire,19.56
UKH23,Hertfordshire ,17.41
UKI75,Hounslow and Richmond upon Thames,16
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",11.28
UKL11,Isle of Anglesey,9.3
UKJ34,Isle of Wight,13.75
UKJ43,Kent Thames Gateway,11.76
UKE11,Kingston upon Hull,14.61
UKI45,Lambeth,12.5
UKD44,Lancaster and Wyre,13.73
UKE42,Leeds,17.89
UKF21,Leicester,16.34
UKF22,Leicestershire and Rutland,17.69
UKI44,Lewisham and Southwark,12.06
UKF30,Lincolnshire,16.27
UKN14,Lisburn and Castlereagh,9.57
UKD72,Liverpool,14.65
UKH21,Luton,15.65
UKD33,Manchester,15.2
UKJ41,Medway,13.06
UKI63,"Merton, Kingston upon Thames and Sutton",12.83
UKN15,Mid and East Antrim,9.71
UKJ45,Mid Kent,14.07
UKD45,Mid Lancashire,15.8
UKN11,Mid Ulster,9
UKJ12,Milton Keynes,16.78
UKL21,Monmouthshire and Newport,18.68
UKM62,Moray,8.74
UKN08,"Newry, Mourne and Down",8.55
UKE13,North and North East Lincolnshire,16.86
UKH16,North and West Norfolk ,14.59
UKJ37,North Hampshire,19.6
UKM84,North Lanarkshire,13.27
UKF25,North Northamptonshire,17.77
UKF15,North Nottinghamshire ,18.77
UKE22,North Yorkshire ,17.71
UKC21,Northumberland ,13.83
UKH15,Norwich and East Norfolk ,12.44
UKF14,Nottingham ,16.78
UKM65,Orkney Islands ,3.99
UKJ14,Oxfordshire ,18.7
UKM77,Perth and Kinross and Stirling ,10.28
UKH11,Peterborough ,16.04
UKK41,Plymouth ,9.26
UKJ31,Portsmouth ,13.38
UKL24,Powys ,15.89
UKI53,Redbridge and Waltham Forest ,13.99
UKG37,Sandwell ,15.54
UKM91,Scottish Borders ,13.15
UKD73,Sefton ,16.38
UKE32,Sheffield ,17.94
UKM66,Shetland Islands ,2.5
UKG22,Shropshire ,19.72
UKG32,Solihull ,17.05
UKK23,Somerset ,14.98
UKF13,South and West Derbyshire ,19.13
UKM94,South Ayrshire ,11.49
UKJ35,South Hampshire ,16.75
UKM95,South Lanarkshire ,12.88
UKF16,South Nottinghamshire ,17.9
UKC12,South Teesside ,15
UKL14,South West Wales ,12.36
UKJ32,Southampton ,19.92
UKH31,Southend-on-Sea ,11.07
UKG24,Staffordshire ,20.36
UKG23,Stoke-on-Trent ,18.76
UKH14,Suffolk ,14.37
UKC23,Sunderland,15.29
UKL18,Swansea,12.58
UKK14,Swindon,15.94
UKG21,Telford and Wrekin ,19.74
UKH32,Thurrock ,14.34
UKK42,Torbay ,9.83
UKI42,Tower Hamlets ,11.29
UKC22,Tyneside ,14.44
UKE45,Wakefield ,19.27
UKG38,Walsall ,16.29
UKI34,Wandsworth ,15.25
UKD61,Warrington,17.24
UKG13,Warwickshire ,19.37
UKD11,West Cumbria ,12.67
UKH35,West Essex ,17.6
UKJ46,West Kent ,16.31
UKM78,West Lothian ,12.7
UKF24,West Northamptonshire,16.86
UKJ25,West Surrey,19.77
UKJ28,West Sussex (North East),18.16
UKJ27,West Sussex (South West),14.34
UKI32,Westminster ,14.87
UKK15,Wiltshire,17.77
UKD74,Wirral ,14.78
UKG39,Wolverhampton,16.26
UKG12,Worcestershire,20.04
UKE21,York ,18
UKM61,Highland,7.68
